"Nome","População","Bandeira","Coat of Arms","Endereço"
"Rubiataba-GO","19 882","","","Avenida Caraíba, 385 – Rubiataba – GO – CEP: 76350-000"
"Rubiácea-SP","2 729","","","Avenida Ministro Konder, 108 – Rubiácea – SP – CEP: 16750-000"
"Rubelita-MG","6 198","","","Praça Maj Avelino Almeida, 406 – Centro – Rubelita – MG – CEP: 39565-000"
"Roteiro-AL","6 656","","","Rua João Pedro, 551 – Roteiro – AL – CEP: 57246-000"
"Roseira-SP","10712","","","Praça Santana, 201 – Roseira – SP – CEP: 12580-000"
"Rosário-MA","42 016","","","Rua Urbano Santos, 970 – Rosário – MA – CEP: 65100-000"
"Rosário Oeste-MT","17 054","","","Avenida Otávio Costa, s/n – Rosário Oeste – MT – CEP: 78470-000"
"Rosário do Sul-RS","39 314","","","Rua Amaro Souto, 2203 – Rosário do Sul – RS – CEP: 97590-000"
"Rosário do Ivaí-PR","5 435","","","Avenida São Paulo, 45 – Rosário do Ivaí – PR – CEP: 86850-000"
"Rosário do Catete-SE","9 295","","","Praça Clodoaldo Passos, 38 – Rosário do Catete – SE – CEP: 49760-000"
"Rosário da Limeira-MG","4 242","","","Praça Nossa Senhora de Fátima, 232 – Rosário da Limeira – MG – CEP: 36878-000"
"Rosana-SP","19 691","","","Rua José Laurindo, 1540 – Rosana – SP – CEP: 19273-000"
"Rorainópolis-RR","31 387","","","Rua Pedro Daniel da Silva, s/n – Rorainópolis – RR – CEP: 69373-000"
"Roque Gonzales-RS","6 750","","","Rua Pe Anchieta, 221 – Roque Gonzales – RS – CEP: 97970-000"
"Rondonópolis-MT","244 897","","","Avenida Duque de Caxias, 526 – Rondonópolis – MT – CEP: 78740-100"
"Rondon-PR","9 005","","","Avenida Brasil, 1500 – Rondon – PR – CEP: 87800-000"
"Rondon do Pará-PA","52 803","","","Rua Gonçalves Dias, 400 – Rondon do Pará – PA – CEP: 68638-000"
"Rondolândia-MT","3 538","","","Avenida Matilde Clemes, s/n – Rondolândia – MT – CEP: 78338-000"
"Rondinha-RS","5 033","","","Avenida Sarandi, 646 – Rondinha – RS – CEP: 99590-000"
"Ronda Alta-RS","10 633","","","Praça Mose Missio, s/n – Ronda Alta – RS – CEP: 99670-000"
"Roncador-PR","11 544","","","Praça Moysés Lupion, 89 – Roncador – PR – CEP: 87320-000"
"Romelândia-SC","4 786","","","Rua XII de Outubro, 242 – Romelândia – SC – CEP: 89908-000"
"Romaria-MG","3 596","","","Praça da Matriz, 320 – Romaria – MG – CEP: 38520-000"
"Rolim de Moura-RO","56 406","","","Avenida João Pessoa, 4478 – Rolim de Moura – RO – CEP:"
"Rolante-RS","21 591","","","Avenida Getúlio Vargas, 110 – Rolante – RS – CEP: 95690-000"
"Rolândia-PR","67 383","","","Avenida Pres Bernardes, 809 – Rolândia – PR – CEP: 86600-000"
"Rolador-RS","2 270","","","Avenida João Batista, 700 – Rolador – RS – CEP: 97843-000"
"Rodrigues Alves-AC","17 945","","","Avenida São José, 780 – Rodrigues Alves – AC – CEP: 69985-000"
"Rodolfo Fernandes-RN","4 467","","","Rua Manoel Nobre, 49 – Rodolfo Fernandes – RN – CEP: 59830-000"
"Rodelas-BA","10 308","","","Avenida Manoel Moura, 94 – Rodelas – BA – CEP: 48630-000"
"Rodeiro-MG","6 863","","","Praça São Sebastião, 215 – Rodeiro – MG – CEP: 36510-000"
"Rodeio-SC","12 715","","","Rua Barão do Rio Branco, 1069 – Rodeio – SC – CEP: 89136-000"
"Rodeio Bonito-RS","5 868","","","Avenida do Comércio, 196 – Rodeio Bonito – RS – CEP: 98360-000"
"Rochedo-MS","4 972","","","Rua Joaquim Murtinho, 203 – Rochedo – MS – CEP: 79450-000"
"Rochedo de Minas-MG","2 116","","","Praça Sebastiâo Gomes, 92 – Rochedo de Minas – MG – CEP: 36604-000"
"Roca Sales-RS","11 556","","","Rua Eliseu Orlandini, 51 – Roca Sales – RS – CEP: 95735-000"
"Riversul-SP","6 163","","","Praça Prefeito Aparecido Barbosa 130 – Riversul – SP – CEP: 18470-000"
"Ritápolis-MG","4 604","","","Praça Tiradentes, 340 – Ritápolis – MG – CEP: 36335-000"
"Riqueza-SC","4 838","","","Rua João Mari, 55 – Riqueza – SC – CEP: 89895-000"
"Riozinho-RS","4 698","","","Avenida Guerino Pandolfo, 580 – Riozinho – RS – CEP: 95695-000"
"Riolândia-SP","11 429","","","Praça Antônio Levino, 470 – Riolândia – SP – CEP: 15495-000"
"Rio Vermelho-MG","13 645","","","Praça N Sª da Pena, 380 – Rio Vermelho – MG – CEP: 39170-000"
"Rio Verde-GO","225 696","","","Avenida Presidente Vargas, 3215 – Rio Verde – GO – CEP: 75901-970"
"Rio Verde de Mato Grosso-MS","18 948","","","Avenida Barão do Rio Branco, 165 – Rio Verde de Mato Grosso – MS – CEP: 79480-000"
"Rio Tinto-PB","24 176","","","Travessa Assis Chateaubriand, s/n – Rio Tinto – PB – CEP: 58297-000"
"Rio Sono-TO","6 259","","","Praça Matriz, 280 – Rio Sono – TO – CEP: 77635-000"
"Rio Rufino-SC","2 483","","","Rua José Oselame, 299 – Rio Rufino – SC – CEP: 88658-000"
"Rio Real-BA","40 976","","","Praça Senador ACM, 56 – Rio Real – BA – CEP: 48330-000"
"Rio Quente-GO","4 728","","","Avenida José Dias Guimarães, s/n – Rio Quente – GO – CEP: 75695-000"
"Rio Preto-MG","5 141","","","Rua Dr Esperidião, 112 – Rio Preto – MG – CEP: 36130-000"
"Rio Preto da Eva-AM","34 856","","","Rua Gov Pimenta Bueno, 242 – Rio Preto da Eva – AM – CEP: 69115-000"
"Rio Pomba-MG","17 804","","","Avenida Raul Soares, 15 – Rio Pomba – MG – CEP: 36180-000"
"Rio Piracicaba-MG","14 631","","","Praça Cel Durval de Barros, 52 – Rio Piracicaba – MG – CEP: 35940-000"
"Rio Pardo-RS","34 654","","","Rua Andrade Neves, 324 – Rio Pardo – RS – CEP: 96640-000"
"Rio Pardo de Minas-MG","30 578","","","Rua Tácito de Freitas Costa, 846 – Rio Pardo de Minas – MG – CEP: 39530-000"
"Rio Paranaíba-MG","12 335","","","Rua Cap Franklim de Castro, 1065 – Rio Paranaíba – MG – CEP: 38810-000"
"Rio Novo-MG","8 712","","","Praça Mal Floriano Peixoto, s/n – Rio Novo – MG – CEP: 36150-000"
"Rio Novo do Sul-ES","11 333","","","Rua Fernando de Abreu, 18 – Rio Novo do Sul – ES – CEP: 29290-000"
"Rio Negro-PR","33 922","","","Rua Juvenal Ferreira Pinto, 2070 – Rio Negro – PR – CEP: 83880-000"
"Rio Negro-MS","5 038","","","Rua Mitsuo Ezoe, 575 – Rio Negro – MS – CEP: 79470-000"
"Rio Negrinho-SC","42 495","","","Avenida Richard Schweitzer Albuquerque, 200 – Rio Negrinho – SC – CEP: 89295-000"
"Rio Maria-PA","18 201","","","Avenida Rio Maria, 660 – Rio Maria – PA – CEP: 68530-000"
"Rio Manso-MG","5 568","","","Praça Fortunato Campos, 46 – Rio Manso – MG – CEP: 35525-000"
"Rio Largo-AL","75 662","","","Rua Vereador Jarbas Januário de Oliveira, s/n – Rio Largo – AL – CEP: 57100-000"
"Rio Grande-RS","212 881","","","Rua Largo Engenheiro João Fernandes Moreira, s/n – Rio Grande – RS – CEP: 96200-900"
"Rio Grande do Piauí-PI","5 801","","","Praça Moisés Balduíno, s/n – Rio Grande do Piauí – PI – CEP: 64835-000"
"Rio Grande da Serra-SP","52 009","","","Avenida Dom Pedro I, 10 – Rio Grande da Serra – SP – CEP: 09450-000"
"Rio Fortuna-SC","4 446","","","Avenida 7 de Setembro, 1175 – Rio Fortuna – SC – CEP: 88760-000"
"Rio Formoso-PE","23 440","","","Rua Barão do Rio Branco, 153 – Rio Formoso – PE – CEP: 55570-000"
"Rio Espera-MG","5 429","","","Praça da Piedade, 36 – Rio Espera – MG – CEP: 36460-000"
"Rio dos Índios-RS","2 571","","","R. Romanó Padoan - Rio dos Índios, RS, 99610-000"
"Rio dos Cedros-SC","11 676","","","Rua Nereu Ramos, 205 – Rio dos Cedros – SC – CEP: 89121-000"
"Rio dos Bois-TO","2 738","","","Avenida Bernardo Sayão, 118 – Rio dos Bois – TO – CEP: 77655-000"
"Rio Doce-MG","2 630","","","Rua Antônio da Conceicão Saraiva, 19 – Rio Doce – MG – CEP: 35442-000"
"Rio do Sul-SC","72 587","","","Praça 25 de Julho, 1 – Rio do Sul – SC – CEP: 89160-000"
"Rio do Prado-MG","5 213","","","Rua Severiano Fonseca, 43 – Rio do Prado – MG – CEP: 39940-000"
"Rio do Pires-BA","10 497","","","Avenida Clemente Pereira da Silva, 42 – Rio do Pires – BA – CEP: 46550-000"
"Rio do Oeste-SC","7 094","","","R. Paulo Sardagna, 797 - Bela Vista, Rio do Oeste - SC, 89180-000"
"Rio do Fogo-RN","10 268","","","Praça dos Pescadores, s/n – Rio do Fogo – RN – CEP: 59578-000"
"Rio do Campo-SC","6 195","","","R, 29 de Dezembro, 70 – Rio do Campo – SC – CEP: 89198-000"
"Rio do Antônio-BA","15 720","","","Praça Cel Souza Porto, s/n – Rio do Antônio – BA – CEP: 46220-000"
"Rio de Janeiro-RJ","6 211 423","","","Rua Afonso Cavalcanti, 455 – Rio de Janeiro – RJ – CEP: 20211-110"
"Rio de Contas-BA","13 184","","","Rua Largo do Rosário, 1 – Rio de Contas – BA – CEP: 46170-000"
"Rio das Pedras-SP","35 738","","","Rua Dr Mário Tavares, 436 – Rio das Pedras – SP – CEP: 13390-000"
"Rio das Ostras-RJ","159 529","","","Avenida Alcebíades Sabino dos Santos, 235 – Rio das Ostras – RJ – CEP: 28890-000"
"Rio das Flores-RJ","8 954","","","Rua Leone Ramos, 12 – Rio das Flores – RJ – CEP: 27660-000"
"Rio das Antas-SC","6 147","","","Rua do Comércio, 780 – Rio das Antas – SC – CEP: 89550-000"
"Rio da Conceição-TO","1 714","","","Praça Antônio P de Carvalho, s/n – Rio da Conceição – TO – CEP: 77303-000"
"Rio Crespo-RO","3471","","","Rua Ermelindo Melani, 1040 – Rio Crespo – RO – CEP:"
"Rio Claro-SP","201 418","","","Rua Três, 945 – Rio Claro – SP – CEP: 13500-907"
"Rio Claro-RJ","18 529","","","Avenida João Batista Portugal, 230 – Rio Claro – RJ – CEP: 27460-000"
"Rio Casca-MG","12 789","","","Avenida Senador Cupertino, 66 – Rio Casca – MG – CEP: 35370-000"
"Rio Brilhante-MS","44 793","","","Rua Athayde Nogueira, 1033 – Rio Brilhante – MS – CEP: 79130-000"
"Rio Branco-MT","5 150","","","Avenida Cerejeiras, 90 – Rio Branco – MT – CEP: 78275-000"
"Rio Branco-AC","364 756","","","Rua Coronel Alexandrino, 301 – Rio Branco – AC – CEP: 69909-730



    Enviar pelo WhatsAppcompartilhe no
            WhatsApp

"
"Rio Branco do Sul-PR","32 397","","","Rua Oracyr Santos, 222 – Rio Branco do Sul – PR – CEP: 83540-000"
"Rio Branco do Ivaí-PR","3 808","","","Avenida Rio Branco, 500  – Rio Branco do Ivaí – PR – CEP: 86848-000"
"Rio Bonito-RJ","60 930","","","Praça Monsenhor Antônio de Souza Gens, 23 – Rio Bonito – RJ – CEP: 28800-000"
"Rio Bonito do Iguaçu-PR","13 255","","","Rua Sete de Setembro, 720 – Rio Bonito do Iguaçu – PR – CEP: 85340-000"
"Rio Bom-PR","3 197","","","Avenida Curitiba, 65 – Rio Bom – PR – CEP: 86830-000"
"Rio Bananal-ES","19 398","","","Avenida 14 de Setembro, 887 – Rio Bananal – ES – CEP: 29920-000"
"Rio Azul-PR","15 236","","","Rua Guilherme Pereira, 482 – Rio Azul – PR – CEP: 84560-000"
"Rio Acima-MG","10 261","","","Rua Antônio Carlos, s/n – Rio Acima – MG – CEP: 34300-000"
"Rinópolis-SP","9259","","","Rua São Luiz, 242 – Rinópolis – SP – CEP: 17740-000"
"Rincão-SP","9 098","","","Rua 21 de Novembro, 256 – Rincão – SP – CEP: 14830-000"
"Rifaina-SP","4 049","","","Rua Barão de Rifaina, 251 – Rifaina – SP – CEP: 14490-000"
"Ribeirópolis-SE","17 173","","","Avenida Barão do Rio Branco, 55 – Ribeirópolis – SE – CEP: 49530-000"
"Ribeiro Gonçalves-PI","6 841","","","Rua Landri Sales, 340 – Ribeiro Gonçalves – PI – CEP: 64865-000"
"Ribeirãozinho-MT","2 593","","","Rua Antônio João, 156 – Ribeirãozinho – MT – CEP: 78613-000"
"Ribeirão-PE","46 877","","","Praça Estácio Coimbra, 359 – Ribeirão – PE – CEP: 55520-000"
"Ribeirão Vermelho-MG","3 826","","","Avenida Antônio Rocha, 291 – Ribeirão Vermelho – MG – CEP: 37264-000"
"Ribeirão Preto-SP","698 642","","","Praça Barão do Rio Branco, s/n – Ribeirão Preto – SP – CEP: 14010-140"
"Ribeirão Pires-SP","125 238","","","Rua Miguel Prisco, 288 – Ribeirão Pires – SP – CEP: 09400-110"
"Ribeirão Grande-SP","7 450","","","Rua João Batista Brizola 15 – Ribeirão Grande – SP – CEP: 18315-000"
"Ribeirão dos Índios-SP","2 187","","","Rua Eugênio Volpi, 250 – Ribeirão dos Índios – SP – CEP: 19380-000"
"Ribeirão do Sul-SP","4 574","","","Rua Cel Paulo Fares, 329 – Ribeirão do Sul – SP – CEP: 19930-000"
"Ribeirão do Pinhal-PR","13 557","","","Rua Paraná, 983 – Ribeirão do Pinhal – PR – CEP: 86490-000"
"Ribeirão do Largo-BA","9 740","","","Praça Policarpo Ferreira dos Anjos, 1 – Ribeirão do Largo – BA – CEP: 45155-000"
"Ribeirão das Neves-MG","329 794","","","Rua Ari Teixeira Costa, 1100 – Ribeirão das Neves – MG – CEP: 33880-630"
"Ribeirão Corrente-SP","4 273","","","Rua Prudente de Morais, 850 – Ribeirão Corrente – SP – CEP: 14445-000"
"Ribeirão Claro-PR","10 693","","","Rua Cel Emílio Gomes, 731 – Ribeirão Claro – PR – CEP: 86410-000"
"Ribeirão Cascalheira-MT","9 796","","","Avenida Pe João Bosco, 2067 – Ribeirão Cascalheira – MT – CEP: 78675-000"
"Ribeirão Branco-SP","18 627","","","Praça Antônio Rodrigues de Souza Sobrinho, 646 – Ribeirão Branco – SP – CEP: 18430-000"
"Ribeirão Bonito-SP","12 831","","","Praça dos Três Poderes, s/n – Ribeirão Bonito – SP – CEP: 13580-000"
"Ribeira-SP","3 358","","","Rua Cel Frederico Dias Batista, 172 – Ribeira – SP – CEP: 18380-000"
"Ribeira do Pombal-BA","54 010","","","Praça Domingos Ferreira de Brito, s/n – Ribeira do Pombal – BA – CEP: 48400-000"
"Ribeira do Piauí-PI","4 055","","","Praça coronel josé Borges de Sousa, s/n – Ribeira do Piauí – PI – CEP: 64725-000"
"Ribeira do Amparo-BA","13 841","","","Praça Prefeito Marcello da Silva Britto, 51 – Ribeira do Amparo – BA – CEP: 48440-000"
"Ribas do Rio Pardo-MS","21 270","","","Rua Conceição do Rio Pardo, 1725 – Ribas do Rio Pardo – MS – CEP: 79180-000"
"Ribamar Fiquene-MA","8 000","","","Avenida Principal, 259 – Ribamar Fiquene – MA – CEP: 65938-000"
"Rianápolis-GO","4 801","","","Praça Antônio de Moraes Rodrigues, 393 – Rianápolis – GO – CEP: 76315-000"
"Rialma-GO","10 516","","","Avenida Pedro Felinto Rego, 780 – Rialma – GO – CEP: 76310-000"
"Riachuelo-SE","8 311","","","Praça Getúlio Vargas, 72 – Riachuelo – SE – CEP: 49130-000"
"Riachuelo-RN","7 067","","","Avenida Getúlio Vargas, 346 – Riachuelo – RN – CEP: 59470-000"
"Riacho Frio-PI","4 238","","","Rua antônio mascarenhas – Riacho Frio – PI – CEP: 64975-000"
"Riacho dos Machados-MG","9 360","","","Praça Santo Antonio, 1 – Riacho dos Machados – MG – CEP: 39529-000"
"Riacho dos Cavalos-PB","9 646","","","Rua Dr Antônio Carneiro, 58 – Riacho dos Cavalos – PB – CEP: 58870-000"
"Riacho de Santo Antônio-PB","1 722","","","Rua Coronel Demóstenes Barbosa, 314 – Riacho de Santo Antônio – PB – CEP: 58465-000"
"Riacho de Santana-RN","4 194","","","Rua Manoel de Souza Lima, 350 – Riacho de Santana – RN – CEP: 59987-000"
"Riacho de Santana-BA","35 421","","","Praça Monsenhor Tobias, 321 – Riacho de Santana – BA – CEP: 46470-000"
"Riacho das Almas-PE","20 064","","","Rua Justo Fernandes da Mota, 68 – Riacho das Almas – PE – CEP: 55120-000"
"Riacho da Cruz-RN","3 526","","","Avenida Camila de Léllis, 285 – Riacho da Cruz – RN – CEP: 59820-000"
"Riachinho-TO","4 684","","","Praça dos Três Poderes, 194 – Riachinho – TO – CEP: 77893-000"
"Riachinho-MG","8 134","","","Avenida Jk, 455 – Riachinho – MG – CEP: 38640-000"
"Riachão-PB","3 274","","","Rua Manoel Tomaz de Aquino, 480 – Riachão – PB – CEP: 58235-000"
"Riachão-MA","35 206","","","Praça N Sª de Nazaré, 742 – Riachão – MA – CEP: 65990-000"
"Riachão do Poço-PB","4 164","","","Rua João Ferreira Alves, s/n – Riachão do Poço – PB – CEP: 58348-000"
"Riachão do Jacuípe-BA","33 386","","","Praça Teodomiro Mascarenha, s/n – Riachão do Jacuípe – BA – CEP: 44640-000"
"Riachão do Dantas-SE","18 313","","","Rua Coronel Dantas Martins, 171 – Riachão do Dantas – SE – CEP: 49320-000"
"Riachão do Bacamarte-PB","4 312","","","Rua Senador Cabral, 395 – Riachão do Bacamarte – PB – CEP: 58382-000"
"Riachão das Neves-BA","22 334","","","Praça Municipal, 27 – Riachão das Neves – BA – CEP: 47970-000"
"Retirolândia-BA","14 588","","","Rua Argemiro Evaristo da Costa, 177 – Retirolândia – BA – CEP: 48750-000"
"Restinga-SP","6 404","","","Rua Geraldo Veríssimo, 633 – Restinga – SP – CEP: 14430-000"
"Restinga Sêca-RS","15 702","","","Rua Moisés Cantarelli, 368 – Restinga Seca – RS – CEP: 97200-000"
"Ressaquinha-MG","4 548","","","Praça D Pedro II, 20 – Ressaquinha – MG – CEP: 36270-000"
"Resplendor-MG","17 398","","","Praça Pedro Nolasco, 20 – Resplendor – MG – CEP: 35230-000"
"Reserva-PR","26 715","","","Avenida Cel Rogério Borba, 741 – Reserva – PR – CEP: 84320-000"
"Reserva do Iguaçu-PR","6553","","","Avenida 4 de Setembro, 614 – Reserva do Iguaçu – PR – CEP: 85195-000"
"Reserva do Cabaçal-MT","2 743","","","Avenida Mato Grosso, 221 – Reserva do Cabaçal – MT – CEP: 78265-000"
"Resende-RJ","133 244","","","Rua Augusto Xavier de Lima, 251 – Resende – RJ – CEP: 27511-001"
"Resende Costa-MG","11 569","","","Rua Maria Cândida de Andrade, 91 – Resende Costa – MG – CEP: 36340-000"
"Reriutaba-CE","18 491","","","Rua Osvaldo Honorio Lemos  – Reriutaba – CE – CEP: 62260-000"
"Renascença-PR","6 986","","","Rua Getúlio Vargas, 901 – Renascença – PR – CEP: 85610-000"
"Remígio-PB","19 621","","","Avenida Joaquim Cavalcanti de Moraes, 96 – Remígio – PB – CEP: 58398-000"
"Remanso-BA","40 586","","","Praça Manoel Firmo Ribeiro, 104 – Remanso – BA – CEP: 47200-000"
"Relvado-RS","2 068","","","Rua das Hortências, 57 – Relvado – RS – CEP: 95965-000"
"Registro-SP","56 322","","","Rua José Antônio de Campos, 250 – Cx Postal 22 – Registro – SP – CEP: 11900-000"
"Reginópolis-SP","9 042","","","Rua Abrahão Ramos, 327 – Reginópolis – SP – CEP: 17190-000"
"Regente Feijó-SP","2200","","","Rua José Gomes, 558 – Regente Feijó – SP – CEP: 19570-000"
"Regeneração-PI","17 978","","","Praça São Gonçalo, 217 – Regeneração – PI – CEP: 64490-000"
"Reduto-MG","7 105","","","Rua São João Batista, 94 – Reduto – MG – CEP: 36920-000"
"Redentora-RS","11 782","","","Rua Jaime Ferreira de Moura, s/n – Redentora – RS – CEP: 98550-000"
"Redenção-PA","85 563","","","Rua Guarantã, 600 – Redenção – PA – CEP: 68550-220"
"Redenção-CE","26 423","","","Avenida da Bolição, 03 – Redenção – CE – CEP: 62790-000"
"Redenção do Gurgueia-PI","8 796","","","Avenida Álvaro Mendes, 449 – Redenção do Gurguéia – PI – CEP: 64915-000"
"Redenção da Serra-SP","4494","","","Avenida XV de Novembro, 829 – Redenção da Serra – SP – CEP: 12170-000"
"Recursolândia-TO","3 421","","","Praça José Tavares, s/n – Recursolândia – TO – CEP: 77733-000"
"Recreio-MG","10 299","","","Rua Pref José Antônio, 126 – Recreio – MG – CEP: 36740-000"
"Recife-PE","1 488 920","","","Avenida Cais do Apolo, 925 – Recife – PE – CEP: 50030-230"
"Rebouças-PR","14 991","","","Rua José Afonso Vieira Lopes, 96 – Rebouças – PR – CEP: 84550-000"
"Realeza-PR","16 950","","","Rua Barão do Rio Branco, 3507 – Realeza – PR – CEP: 85770-000"
"Raul Soares-MG","23 423","","","Rua Dr Gerardo Grossi, 201 – Raul Soares – MG – CEP: 35350-000"
"Raposos-MG","15 345","","","Praça da Matriz, 64 – Raposos – MG – CEP: 34400-000"
"Raposa-MA","30 761","","","Avenida Principal, s/n – Raposa – MA – CEP: 65138-000"
"Rancho Queimado-SC","2 748","","","Praça Leonardo Sell, 100 – Rancho Queimado – SC – CEP: 88470-000"
"Rancho Alegre-PR","3 955","","","Avenida Brasil, 256 – Rancho Alegre – PR – CEP: 86290-000"
"Rancho Alegre d'Oeste-PR","2 682","","","Avenida Paraná, 530 – Rancho Alegre d’Oeste – PR – CEP: 87395-000"
"Rancharia-SP","29 799","","","Rua Marcílio Dias, 719 – Rancharia – SP – CEP: 19600-000"
"Ramilândia-PR","4 134","","","Prç Geraldo Custódio de Barros, 627 – Ramilândia – PR – CEP: 85888-000"
"Rafard-SP","9 004","","","Praça da Independência, 100 – Rafard – SP – CEP: 13370-000"
"Rafael Jambeiro-BA","19 662","","","Largo da Liberdade, s/n – Rafael Jambeiro – BA – CEP: 44520-000"
"Rafael Godeiro-RN","3 208","","","Avenida Benedito Julião de Medeiros, 72 – Rafael Godeiro – RN – CEP: 59740-000"
"Rafael Fernandes-RN","5 432","","","Rua José Martins de Oliveira, 178 – Rafael Fernandes – RN – CEP: 59990-000"
"Quixeré-CE","19 412","","","Rua Pe Zacarias, 332 – Quixeré – CE – CEP: 62920-000"
"Quixeramobim-CE","85 565","","","Rua Dr Álvaro Fernandes, 36 42 – Quixeramobim – CE – CEP: 63800-000"
"Quixelô-CE","20 000","","","R. Pedro Gomes de Araújo, s/n - Centro, Quixelô - CE, 63515-000"
"Quixadá-CE","87 728","","","Rua Tabelião Enéas, 649 – Altos – Quixadá – CE – CEP: 63900-000"
"Quixabeira-BA","9 461","","","Avenida Jovito de Sousa Novais, s/n – Quixabeira – BA – CEP: 44713-000"
"Quixaba-PE","6 835","","","Pr Antonio Pereira de Carvalho 20 – Quixabá – PE – CEP: 56823-000"
"Quixaba-PB","1 964","","","Rua Francisco Pereira de Assis, 295 – Quixaba – PB – CEP: 58733-000"
"Quiterianópolis-CE","19 918","","","Rua Laurindo Gomes, s/n – Quiterianópolis – CE – CEP: 63650-000"
"Quitandinha-PR","19 388","","","Rua José de Sá Ribas, 238 – Quitandinha – PR – CEP: 83840-000"
"Quissamã-RJ","25 535","","","Rua Conde de Araruama, 425 – Quissamã – RJ – CEP: 28735-000"
"Quirinópolis-GO","48447","","","Praça dos Três Poderes, 88 – Quirinópolis – GO – CEP: 75860-000"
"Quipapá-PE","25 381","","","Rua Dr Fernando Pessoa de Melo, s/n – Quipapá – PE – CEP: 55415-000"
"Quinze de Novembro-RS","3 810","","","Rua Gonçalves Dias, 875 – Centro – Quinze de Novembro – RS – CEP: 98230-000"
"Quintana-SP","6 530","","","Avenida Santa Amélia, 364 – Quintana – SP – CEP: 17670-000"
"Quinta do Sol-PR","100117","","","Praça Solange Marques, 259 – Quinta do Sol – PR – CEP: 87265-000"
"Quilombo-SC","11 022","","","Rua Duque de Caxias, 165 – Quilombo – SC – CEP: 89850-000"
"Quijingue-BA","25 272","","","Praça Hermógenes José da Silva, s/n – Quijingue – BA – CEP: 48830-000"
"Quevedos-RS","2 793","","","Rua Humaitá, 69 – Quevedos – RS – CEP: 98140-000"
"Querência-MT","29 280","","","Avenida Cuiabá, s/n – – Q, 1 Lt, 9 – Querência – MT – CEP: 78643-000"
"Querência do Norte-PR","12 257","","","Rua Waldemar dos Santos, 1197 – Querência do Norte – PR – CEP: 87930-000"
"Queluzito-MG","1 866","","","Rua do Rosário, 4, QUELUZITO - MG, 36424-000"
"Queluz-SP","9 159","","","Rua Prudente de Morais, 100 – Queluz – SP – CEP: 12800-000"
"Queiroz-SP","2 808","","","Praça Alaor Garcia Brabo, s/n – Queiroz – SP – CEP: 17590-000"
"Queimados-RJ","152 311","","","Rua Hortência, 254 – Queimados – RJ – CEP: 26391-180"
"Queimadas-PB","43 917","","","Rua João Barbosa da Silva, 212 – Queimadas – PB – CEP: 58475-000"
"Queimadas-BA","26 023","","","Praça Everaldo Procópio de Oliveira, 97 – Queimadas – BA – CEP: 48860-000"
"Queimada Nova-PI","8 565","","","Rua Felipe Rodrigues Coelho, 483 – Queimada Nova – PI – CEP: 64758-000"
"Quedas do Iguaçu-PR","33 543","","","Rua Juazeiro, 1065 – Quedas do Iguaçu – PR – CEP: 85460-000"
"Quebrangulo-AL","11 486","","","Praça Getúlio Vargas, 50 – Quebrangulo – AL – CEP: 57750-000"
"Quatro Pontes-PR","4 480","","","Rua Gaspar Martins, 560 – Quatro Pontes – PR – CEP: 85940-000"
"Quatro Irmãos-RS","1 860","","","Rua Isidoro Einsberg, s/n – Quatro Irmãos – RS – CEP: 99720-000"
"Quatro Barras-PR","23 911","","","Avenida D Pedro II, 110 – Quatro Barras – PR – CEP: 83420-000"
"Quatis-RJ","14 435","","","Rua Faustino Pinheiro, 205 – Quatis – RJ – CEP: 27410-130"
"Quatipuru-PA","13 142","","","Rua Cônego Siqueira Mendes, s/n – Quatipuru – PA – CEP: 68709-000"
"Quatiguá-PR","8099","","","Avenida Dr João Pessoa, 1300 – Quatiguá – PR – CEP: 86450-000"
"Quatá-SP","12 828","","","Rua Gal Marcondes Salgado, 332 – Quatá – SP – CEP: 19780-000"
"Quarto Centenário-PR","4 560","","","Avenida Raposo Tavares, 594 – Quarto Centenário – PR – CEP: 87365-000"
"Quartel Geral-MG","3 315","","","Rua Pe Luiz, 705 – Quartel Geral – MG – CEP: 35625-000"
"Quaraí-RS","22 531","","","Avenida Artigas, 310 – Quaraí – RS – CEP: 97560-000"
"Quadra-SP","3854","","","Praça Chico Vieira, 98 – Quadra – SP – CEP: 18255-000"
"Puxinanã-PB","12 995","","","Avenida 28 de Janeiro, 20 – Puxinanã – PB – CEP: 58115-000"
"Putinga-RS","3 861","","","Rua Duque de Caxias, 333 – Putinga – RS – CEP: 95975-000"
"Pureza-RN","9 825","","","Praça 05 de Abril, 180 – Pureza – RN – CEP: 59582-000"
"Pugmil-TO","2 746","","","Rua Tocatins, 203 – Pugmil – TO – CEP: 77603-000"
"Prudentópolis-PR","49393","","","Rua Rui Barbosa, 801 – Prudentópolis – PR – CEP: 84400-000"
"Prudente de Morais-MG","9 573","","","Rua Pref João Dias Jeunnon, 56 – Prudente de Morais – MG – CEP: 35715-000"
"Protásio Alves-RS","1 929","","","Rua do Poço, 488 – Protásio Alves – RS – CEP: 95345-000"
"Propriá-SE","26 618","","","Rua Elmiro Costa, s/n – Propriá – SE – CEP: 49900-000"
"Promissão-SP","41 211","","","Avenida Pedro de Toledo, 386 – Promissão – SP – CEP: 16370-000"
"Progresso-RS","6 235","","","Rua 4 de Novembro, 1150 – Progresso – RS – CEP: 95925-000"
"Professor Jamil-GO","3 390","","","Rua Matilde Ferrarini Safad, 235 – Professor Jamil – GO – CEP: 75645-000"
